sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
589,14.0446,4.2131,1.4043
590,18.0245,5.4069,1.8023
591,11.2095,3.3626,1.1208
592,41.1019,12.3297,4.1098
593,9.9507,2.9850,0.9950
594,31.9329,9.5792,3.1929
595,15.7163,4.7145,1.5715
596,32.9347,9.8797,3.2931
597,11.9587,3.5874,1.1957
598,34.8086,10.4418,3.4805
599,30.3005,9.0895,3.0297
600,24.8387,7.4511,2.4836
601,18.7294,5.6184,1.8727
602,16.6135,4.9837,1.6612
603,29.0277,8.7077,2.9025
604,18.4472,5.5337,1.8445
605,50.6031,15.1798,5.0598
606,42.4575,12.7363,4.2453
607,78.4358,23.5290,7.8427
608,6.7126,2.0136,0.6712
609,9.7212,2.9161,0.9720
610,10.1646,3.0492,1.0164
611,29.4735,8.8414,2.9470
612,7.6431,2.2928,0.7642
613,38.2878,11.4855,3.8284
614,16.3570,4.9067,1.6355
615,31.3163,9.3942,3.1313
616,41.6492,12.4938,4.1645
617,33.2059,9.9610,3.3202
618,20.7774,6.2328,2.0775
619,45.9125,13.7727,4.5908
620,24.7219,7.4160,2.4719
621,38.0074,11.4014,3.8003
622,32.7864,9.8352,3.2783
623,24.6113,7.3828,2.4609
624,26.6420,7.9920,2.6639
625,50.5299,15.1579,5.0525
626,24.6588,7.3971,2.4656
627,31.2529,9.3752,3.1250
628,29.0263,8.7073,2.9023
629,35.7001,10.7092,3.5696
630,20.4050,6.1210,2.0403
631,36.6242,10.9864,3.6620
632,30.5652,9.1689,3.0562
633,27.6945,8.3077,2.7692
634,44.9012,13.4694,4.4896
635,17.0263,5.1075,1.7025
636,44.0154,13.2037,4.4011
637,34.5273,10.3574,3.4524
638,20.6571,6.1967,2.0655
639,9.2101,2.7628,0.9209
640,16.5968,4.9787,1.6595
641,9.5642,2.8691,0.9563
642,15.2032,4.5606,1.5202
643,33.1126,9.9331,3.3109
644,18.4979,5.5490,1.8496
645,31.0120,9.3029,3.1009
646,20.3631,6.1085,2.0361
647,46.0108,13.8022,4.6006
648,8.9697,2.6907,0.8969
649,12.2896,3.6866,1.2288
650,39.5322,11.8588,3.9528
651,17.5314,5.2590,1.7529
652,50.8214,15.2453,5.0816
653,14.9400,4.4817,1.4938
654,49.4022,14.8196,4.9397
655,46.1621,13.8476,4.6157
656,11.3331,3.3997,1.1332
657,22.0714,6.6209,2.2069
658,11.2353,3.3703,1.1234
659,55.4071,16.6209,5.5401
660,40.3852,12.1147,4.0381
661,20.5673,6.1698,2.0565
662,19.2161,5.7644,1.9214
663,50.2011,15.0592,5.0196
664,23.5235,7.0565,2.3521
665,17.2207,5.1658,1.7219
666,62.5733,18.7706,6.2567
667,20.3880,6.1159,2.0386
668,10.8957,3.2685,1.0894
669,32.2511,9.6746,3.2248
670,6.2368,1.8709,0.6236
671,39.7928,11.9370,3.9789
672,25.5856,7.6751,2.5583
673,21.2924,6.3872,2.1290
674,26.1271,7.8376,2.6124
675,19.1884,5.7561,1.9186
676,46.4167,13.9240,4.6412
677,19.3757,5.8123,1.9374
678,53.8390,16.1505,5.3833
679,7.0466,2.1138,0.7046
680,14.4543,4.3360,1.4453
681,45.6946,13.7074,4.5690
682,17.4897,5.2465,1.7488
683,10.4854,3.1454,1.0484
684,42.8074,12.8413,4.2803
685,11.4076,3.4220,1.1406
686,42.2159,12.6639,4.2211
687,53.5722,16.0705,5.3566
