batch_size,run_id,l_sub_s,t_ver_us,s_pi_bytes,c_1k_usd,tef_s,fee_ada,tx_size_bytes
1000,23,86.867,4.0254,1155,0.075918,17366.87,0.172541,407
1000,24,59.706,4.055,1156,0.075918,17339.71,0.172541,405
1000,25,62.062,4.0121,1153,0.075918,17342.06,0.172541,383
1000,26,22.851,4.0821,1156,0.075918,17302.85,0.172541,402
1000,27,60.29,4.0812,1155,0.075918,17340.29,0.172541,374
1000,28,100.409,4.1296,1157,0.075918,17380.41,0.172541,428
1000,29,79.246,4.2971,1156,0.075918,17359.25,0.172541,391
1681,0,102.79,4.5012,1256,0.045162,29150.47,0.172541,404
1681,1,76.129,4.4342,1253,0.045162,29123.81,0.172541,385
1681,2,63.914,4.3754,1253,0.045162,29111.59,0.172541,382
1681,3,91.891,4.4637,1254,0.045162,29139.57,0.172541,361
1681,4,150.172,4.4396,1253,0.045162,29197.85,0.172541,379
1681,5,81.85,4.7942,1254,0.045162,29129.53,0.172541,400
1681,6,106.127,4.5533,1256,0.045162,29153.81,0.172541,370
1681,7,73.7,4.58,1253,0.045162,29121.38,0.172541,360
1681,8,57.55,4.5787,1254,0.045162,29105.23,0.172541,399
1681,9,120.544,4.6062,1254,0.045162,29168.22,0.172541,382
1681,10,60.207,4.5783,1254,0.045162,29107.89,0.172541,357
1681,11,146.86,4.5813,1251,0.045162,29194.54,0.172541,374
1681,12,77.072,4.6075,1253,0.045162,29124.75,0.172541,353
1681,13,109.279,4.3808,1252,0.045162,29156.96,0.172541,364
1681,14,85.802,4.3758,1252,0.045162,29133.48,0.172541,399
1681,15,49.982,5.2008,1255,0.045162,29097.66,0.172541,379
1681,16,93.622,4.4183,1254,0.045162,29141.3,0.172541,401
1681,17,62.912,4.3225,1254,0.045162,29110.59,0.172541,386
1681,18,55.56,4.6483,1255,0.045162,29103.24,0.172541,401
1681,19,82.346,4.3575,1254,0.045162,29130.03,0.172541,402
1681,20,71.816,4.5221,1252,0.045162,29119.5,0.172541,400
1681,21,111.935,4.5675,1251,0.045162,29159.62,0.172541,374
1681,22,127.397,4.31,1253,0.045162,29175.08,0.172541,390
1681,23,115.902,4.6654,1253,0.045162,29163.58,0.172541,387
1681,24,148.438,4.5796,1254,0.045162,29196.12,0.172541,386
1681,25,147.741,4.3737,1252,0.045162,29195.42,0.172541,352
1681,26,44.968,4.3858,1254,0.045162,29092.65,0.172541,343
1681,27,76.712,4.395,1252,0.045162,29124.39,0.172541,383
1681,28,161.37,4.3579,1252,0.045162,29209.05,0.172541,408
1681,29,137.153,4.3496,1254,0.045162,29184.83,0.172541,357
2000,0,40.271,4.5271,1251,0.037959,34600.27,0.172541,415
2000,1,142.408,4.7804,1253,0.037959,34702.41,0.172541,402
2000,2,106.23,4.3521,1253,0.037959,34666.23,0.172541,367
2000,3,156.038,4.3488,1251,0.037959,34716.04,0.172541,407
2000,4,71.075,4.3708,1250,0.037959,34631.07,0.172541,363
2000,5,97.589,4.3413,1254,0.037959,34657.59,0.172541,359
2000,6,260.048,4.4233,1252,0.037959,34820.05,0.172541,411
2000,7,66.288,4.4717,1253,0.037959,34626.29,0.172541,390
2000,8,114.124,4.4742,1252,0.037959,34674.12,0.172541,385
2000,9,65.382,4.5296,1253,0.037959,34625.38,0.172541,387
2000,10,89.719,4.6971,1254,0.037959,34649.72,0.172541,366
2000,11,87.072,4.6525,1254,0.037959,34647.07,0.172541,385
2000,12,145.065,4.6183,1252,0.037959,34705.07,0.172541,397
2000,13,157.45,4.6533,1253,0.037959,34717.45,0.172541,417
2000,14,61.843,4.5908,1253,0.037959,34621.84,0.172541,395
2000,15,72.868,4.6321,1257,0.037959,34632.87,0.172541,396
2000,16,98.354,4.7004,1252,0.037959,34658.35,0.172541,386
2000,17,149.727,4.6442,1254,0.037959,34709.73,0.172541,373
2000,18,91.515,4.7867,1251,0.037959,34651.52,0.172541,390
2000,19,90.157,4.5729,1251,0.037959,34650.16,0.172541,354
2000,20,55.715,4.565,1253,0.037959,34615.72,0.172541,388
2000,21,146.21,4.8033,1254,0.037959,34706.21,0.172541,364
2000,22,176.308,4.4312,1253,0.037959,34736.31,0.172541,382
2000,23,119.84,4.3779,1254,0.037959,34679.84,0.172541,380
2000,24,76.624,4.3087,1251,0.037959,34636.62,0.172541,400
2000,25,67.318,4.3562,1252,0.037959,34627.32,0.172541,391
2000,26,89.198,4.2992,1254,0.037959,34649.2,0.172541,341
2000,27,54.85,4.3458,1251,0.037959,34614.85,0.172541,375
2000,28,59.27,4.3721,1256,0.037959,34619.27,0.172541,413
2000,29,111.03,4.5963,1253,0.037959,34671.03,0.172541,403
5000,0,79.141,5.1604,1453,0.015184,86479.14,0.172541,380
5000,1,153.276,5.3825,1446,0.015184,86553.28,0.172541,429
5000,2,109.672,5.3504,1447,0.015184,86509.67,0.172541,375
5000,3,49.125,5.4038,1447,0.015184,86449.13,0.172541,397
5000,4,188.756,5.3817,1448,0.015184,86588.76,0.172541,409
5000,5,142.496,5.4683,1451,0.015184,86542.5,0.172541,377
5000,6,128.051,5.1783,1450,0.015184,86528.05,0.172541,425
5000,7,86.673,4.9308,1451,0.015184,86486.67,0.172541,372
5000,8,86.357,5.75,1447,0.015184,86486.36,0.172541,408
5000,9,138.367,6.25,1451,0.015184,86538.37,0.172541,348
5000,10,95.102,5.0479,1450,0.015184,86495.1,0.172541,389
5000,11,102.659,5.0163,1451,0.015184,86502.66,0.172541,396
5000,12,92.936,5.2725,1446,0.015184,86492.94,0.172541,373
5000,13,162.846,5.3421,1446,0.015184,86562.85,0.172541,402
5000,14,46.875,5.3804,1446,0.015184,86446.88,0.172541,406
5000,15,123.32,5.0287,1448,0.015184,86523.32,0.172541,404
5000,16,88.367,4.9813,1450,0.015184,86488.37,0.172541,334
5000,17,266.201,5.4304,1449,0.015184,86666.2,0.172541,400
5000,18,159.497,5.285,1447,0.015184,86559.5,0.172541,399
5000,19,95.063,5.0167,1446,0.015184,86495.06,0.172541,357
5000,20,179.284,4.9021,1451,0.015184,86579.28,0.172541,402
5000,21,41.296,5.0642,1451,0.015184,86441.3,0.172541,367
5000,22,27.686,5.4933,1450,0.015184,86427.69,0.172541,397
5000,23,78.797,5.5267,1450,0.015184,86478.8,0.172541,419
5000,24,102.568,5.2642,1450,0.015184,86502.57,0.172541,418
5000,25,81.637,5.2925,1450,0.015184,86481.64,0.172541,378
5000,26,212.326,5.2525,1446,0.015184,86612.33,0.172541,377
5000,27,63.735,5.3221,1446,0.015184,86463.73,0.172541,351
5000,28,100.748,5.1471,1448,0.015184,86500.75,0.172541,369
5000,29,31.766,5.2625,1445,0.015184,86431.77,0.172541,376
