event_date;close_price_usd
2017-10-18 00:00:00 UTC;0,0268299505
2017-10-19 00:00:00 UTC;0,0302996062
2017-10-20 00:00:00 UTC;0,0285879626
2017-10-21 00:00:00 UTC;0,0277960384
2017-10-22 00:00:00 UTC;0,0260451259
2017-10-23 00:00:00 UTC;0,0274174030
2017-10-24 00:00:00 UTC;0,0272693016
2017-10-25 00:00:00 UTC;0,0265914004
2017-10-26 00:00:00 UTC;0,0265096215
2017-10-27 00:00:00 UTC;0,0259764128
2017-10-28 00:00:00 UTC;0,0283520354
2017-10-29 00:00:00 UTC;0,0283854075
2017-10-30 00:00:00 UTC;0,0302510953
2017-10-31 00:00:00 UTC;0,0230960362
2017-11-01 00:00:00 UTC;0,0213205775
2017-11-02 00:00:00 UTC;0,0227894259
2017-11-03 00:00:00 UTC;0,0218020789
2017-11-04 00:00:00 UTC;0,0220263158
2017-11-05 00:00:00 UTC;0,0223035647
2017-11-06 00:00:00 UTC;0,0222885657
2017-11-07 00:00:00 UTC;0,0251463483
2017-11-08 00:00:00 UTC;0,0327694951
2017-11-09 00:00:00 UTC;0,0272930427
2017-11-10 00:00:00 UTC;0,0274985187
2017-11-11 00:00:00 UTC;0,0245216509
2017-11-12 00:00:00 UTC;0,0251142874
2017-11-13 00:00:00 UTC;0,0262283053
2017-11-14 00:00:00 UTC;0,0260145533
2017-11-15 00:00:00 UTC;0,0271062720
2017-11-16 00:00:00 UTC;0,0259167532
2017-11-17 00:00:00 UTC;0,0265277202
2017-11-18 00:00:00 UTC;0,0277212109
2017-11-19 00:00:00 UTC;0,0300027359
2017-11-20 00:00:00 UTC;0,0285982155
2017-11-21 00:00:00 UTC;0,0287315492
2017-11-22 00:00:00 UTC;0,0279406666
2017-11-23 00:00:00 UTC;0,0285119374
2017-11-24 00:00:00 UTC;0,0306147876
2017-11-25 00:00:00 UTC;0,0385478736
2017-11-26 00:00:00 UTC;0,0504690380
2017-11-27 00:00:00 UTC;0,1207256835
2017-11-28 00:00:00 UTC;0,0926358699
2017-11-29 00:00:00 UTC;0,1240647110
2017-11-30 00:00:00 UTC;0,1308491103
2017-12-01 00:00:00 UTC;0,1352900458
2017-12-02 00:00:00 UTC;0,1319285454
2017-12-03 00:00:00 UTC;0,1363182299
2017-12-04 00:00:00 UTC;0,1312660707
2017-12-05 00:00:00 UTC;0,1289980058
2017-12-06 00:00:00 UTC;0,1134997757
2017-12-07 00:00:00 UTC;0,1197711105
2017-12-08 00:00:00 UTC;0,1220696802
2017-12-09 00:00:00 UTC;0,1107531798
2017-12-10 00:00:00 UTC;0,1201683048
2017-12-11 00:00:00 UTC;0,1335739023
2017-12-12 00:00:00 UTC;0,1343765017
2017-12-13 00:00:00 UTC;0,2170113593
2017-12-14 00:00:00 UTC;0,2176344095
2017-12-15 00:00:00 UTC;0,4082044481
2017-12-16 00:00:00 UTC;0,4755894827
2017-12-17 00:00:00 UTC;0,5068948652
2017-12-18 00:00:00 UTC;0,5478312463
2017-12-19 00:00:00 UTC;0,4922967441
2017-12-20 00:00:00 UTC;0,4979340778
2017-12-21 00:00:00 UTC;0,4146171188
2017-12-22 00:00:00 UTC;0,4363737804
2017-12-23 00:00:00 UTC;0,4066431446
2017-12-24 00:00:00 UTC;0,4246643769
2017-12-25 00:00:00 UTC;0,4497568805
2017-12-26 00:00:00 UTC;0,4305596571
2017-12-27 00:00:00 UTC;0,4295054020
2017-12-28 00:00:00 UTC;0,5453090436
2017-12-29 00:00:00 UTC;0,6785792910
2017-12-30 00:00:00 UTC;0,7676346038
2017-12-31 00:00:00 UTC;0,7471404236
2018-01-01 00:00:00 UTC;0,8074302509
2018-01-02 00:00:00 UTC;1,0754011012
2018-01-03 00:00:00 UTC;1,1793470150
2018-01-04 00:00:00 UTC;1,0778211835
2018-01-05 00:00:00 UTC;1,0937801725
2018-01-06 00:00:00 UTC;1,0528536805
2018-01-07 00:00:00 UTC;0,9418999315
2018-01-08 00:00:00 UTC;0,8662015397
2018-01-09 00:00:00 UTC;0,8164417056
2018-01-10 00:00:00 UTC;0,7274617293
2018-01-11 00:00:00 UTC;0,9623286418
2018-01-12 00:00:00 UTC;0,9379071856
2018-01-13 00:00:00 UTC;0,8418895266
2018-01-14 00:00:00 UTC;0,8224040745
2018-01-15 00:00:00 UTC;0,6382177392
2018-01-16 00:00:00 UTC;0,6495671614
2018-01-17 00:00:00 UTC;0,6713561272
2018-01-18 00:00:00 UTC;0,6657514508
2018-01-19 00:00:00 UTC;0,7340009347
2018-01-20 00:00:00 UTC;0,6290330818
2018-01-21 00:00:00 UTC;0,5813511690
2018-01-22 00:00:00 UTC;0,5648508618
2018-01-23 00:00:00 UTC;0,6248776332
2018-01-24 00:00:00 UTC;0,6396383272
2018-01-25 00:00:00 UTC;0,6206010252
2018-01-26 00:00:00 UTC;0,6254637217
2018-01-27 00:00:00 UTC;0,6305763665
2018-01-28 00:00:00 UTC;0,5924707176
2018-01-29 00:00:00 UTC;0,5879492075
2018-01-30 00:00:00 UTC;0,5017165695
2018-01-31 00:00:00 UTC;0,5097459560
2018-02-01 00:00:00 UTC;0,3865274951
2018-02-02 00:00:00 UTC;0,3908061195
2018-02-03 00:00:00 UTC;0,4505553445
2018-02-04 00:00:00 UTC;0,3813606219
2018-02-05 00:00:00 UTC;0,3184447399
2018-02-06 00:00:00 UTC;0,3475705859
2018-02-07 00:00:00 UTC;0,3358621483
2018-02-08 00:00:00 UTC;0,3428824186
2018-02-09 00:00:00 UTC;0,3881784861
2018-02-10 00:00:00 UTC;0,3726785098
2018-02-11 00:00:00 UTC;0,3578544592
2018-02-12 00:00:00 UTC;0,3660671240
2018-02-13 00:00:00 UTC;0,3522635184
2018-02-14 00:00:00 UTC;0,3844627605
2018-02-15 00:00:00 UTC;0,3920909011
2018-02-16 00:00:00 UTC;0,3941070270
2018-02-17 00:00:00 UTC;0,4043359460
2018-02-18 00:00:00 UTC;0,3664382166
2018-02-19 00:00:00 UTC;0,3756632354
2018-02-20 00:00:00 UTC;0,3507353489
2018-02-21 00:00:00 UTC;0,3373298720
2018-02-22 00:00:00 UTC;0,3110289415
2018-02-23 00:00:00 UTC;0,3284882398
2018-02-24 00:00:00 UTC;0,3030229609
2018-02-25 00:00:00 UTC;0,3288682541
2018-02-26 00:00:00 UTC;0,3245343533
2018-02-27 00:00:00 UTC;0,3280530859
2018-02-28 00:00:00 UTC;0,3018433530
2018-03-01 00:00:00 UTC;0,2975697990
2018-03-02 00:00:00 UTC;0,2932037574
2018-03-03 00:00:00 UTC;0,2959134201
2018-03-04 00:00:00 UTC;0,2949477477
2018-03-05 00:00:00 UTC;0,2928957410
2018-03-06 00:00:00 UTC;0,2789908612
2018-03-07 00:00:00 UTC;0,2427457541
2018-03-08 00:00:00 UTC;0,2155448677
2018-03-09 00:00:00 UTC;0,2234229363
2018-03-10 00:00:00 UTC;0,2038164320
2018-03-11 00:00:00 UTC;0,2182023494
2018-03-12 00:00:00 UTC;0,2250123678
2018-03-13 00:00:00 UTC;0,2241150343
2018-03-14 00:00:00 UTC;0,2007678454
2018-03-15 00:00:00 UTC;0,1874365593
2018-03-16 00:00:00 UTC;0,1790026425
2018-03-17 00:00:00 UTC;0,1541260607
2018-03-18 00:00:00 UTC;0,1584811739
2018-03-19 00:00:00 UTC;0,1981719718
2018-03-20 00:00:00 UTC;0,2050155031
2018-03-21 00:00:00 UTC;0,2143157692
2018-03-22 00:00:00 UTC;0,2032556372
2018-03-23 00:00:00 UTC;0,1876046657
2018-03-24 00:00:00 UTC;0,1885562893
2018-03-25 00:00:00 UTC;0,1843114834
2018-03-26 00:00:00 UTC;0,1671326870
2018-03-27 00:00:00 UTC;0,1552543502
2018-03-28 00:00:00 UTC;0,1599261867
2018-03-29 00:00:00 UTC;0,1427402904
2018-03-30 00:00:00 UTC;0,1473554109
2018-03-31 00:00:00 UTC;0,1568047756
2018-04-01 00:00:00 UTC;0,1519086594
2018-04-02 00:00:00 UTC;0,1571400846
2018-04-03 00:00:00 UTC;0,1722385767
2018-04-04 00:00:00 UTC;0,1564881606
2018-04-05 00:00:00 UTC;0,1490363865
2018-04-06 00:00:00 UTC;0,1448951662
2018-04-07 00:00:00 UTC;0,1486040449
2018-04-08 00:00:00 UTC;0,1566746822
2018-04-09 00:00:00 UTC;0,1530095492
2018-04-10 00:00:00 UTC;0,1564943708
2018-04-11 00:00:00 UTC;0,1654396195
2018-04-12 00:00:00 UTC;0,2117368767
2018-04-13 00:00:00 UTC;0,1990240834
2018-04-14 00:00:00 UTC;0,1994904365
2018-04-15 00:00:00 UTC;0,2207718892
2018-04-16 00:00:00 UTC;0,2556752439
2018-04-17 00:00:00 UTC;0,2432386954
2018-04-18 00:00:00 UTC;0,2596165250
2018-04-19 00:00:00 UTC;0,2712559798
2018-04-20 00:00:00 UTC;0,3061720834
2018-04-21 00:00:00 UTC;0,2881349998
2018-04-22 00:00:00 UTC;0,2847060990
2018-04-23 00:00:00 UTC;0,2868710619
2018-04-24 00:00:00 UTC;0,3114908360
2018-04-25 00:00:00 UTC;0,2719942668
2018-04-26 00:00:00 UTC;0,2939630066
2018-04-27 00:00:00 UTC;0,2877023020
2018-04-28 00:00:00 UTC;0,3561479574
2018-04-29 00:00:00 UTC;0,3628546922
2018-04-30 00:00:00 UTC;0,3426895323
2018-05-01 00:00:00 UTC;0,3555868115
2018-05-02 00:00:00 UTC;0,3697999016
2018-05-03 00:00:00 UTC;0,3716022849
2018-05-04 00:00:00 UTC;0,3595956117
2018-05-05 00:00:00 UTC;0,3647520944
2018-05-06 00:00:00 UTC;0,3491619354
